sequence	cell_diameter	cell_length	doubling_h	growth_tmp	optimum_tmp	optimum_ph	genome_size	gc_content	coding_genes	rRNA16S_genes	tRNA_genes	gram_stain	sporulation	motility	range_salinity	facultative_respiration	anaerobic_respiration	aerobic_respiration	mesophilic_range_tmp	thermophilic_range_tmp	psychrophilic_range_tmp	bacillus_cell_shape	coccus_cell_shape	filament_cell_shape	coccobacillus_cell_shape	vibrio_cell_shape	spiral_cell_shape
OTU33	-0.22184874961635637	0.20411998265592482	-0.2676062401770315	37	37	6.5	2687294.429	55.767	2234.25	3	52	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0
OTU34	-0.3010299956639812	0.3010299956639812	0.3222192947339193	37	37	7	3234795	31.38	1654	6.2	55	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU35	-0.6989700043360187	-0.12493873660829993	-0.2907300390241692	37	37	6.75	2061880.682	39.49	1960.667	6	57	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
OTU36	-0.5228787452803376	0.07918124604762482	0.6117233080073418	37	37	7	2373109.5	60.3	1896	2	57	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
OTU37	-0.3979400086720376	0.20411998265592482	1.146128035678238	37	37	7.5	3961981.571	60.715	3565	2	55	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU38	-0.1549019599857432	0.16136800223497488	-0.5421181032660076	32.333	30	5.5	4924333.875	55.85	4371	8	85	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0
OTU39	-0.5228787452803376	-0.5228787452803376	0.26245108973042947	37	37	7	2071338.667	38.617	1848	4	48	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0
OTU40	-0.09691001300805639	0.0	0.16731733474817606	37	37	7	3960790.6	45.85	3550	5	71	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU41	-0.6020599913279624	0.33243845991560533	-0.3565473235138126	37	34.75	6.8	6687116.12	42.024	4803.75	5	70	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU42	-0.3010299956639812	0.38021124171160603	-0.07058107428570727	36.5	35.6	6.6	4603278.645	28.487	3903.429	10.2	86.167	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU43	-0.045757490560675115	0.3010299956639812	0.3222192947339193	37	37	7	2931144	36.817	1654	6.2	55	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1
OTU44	-0.12493873660829993	0.9164539485499251	0.25527250510330607	37	36	5.35	6400899	49.105	5937	5	72	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU45	-0.22184874961635637	0.0	0.17609125905568124	37	37	7	2687294.429	55.767	2234.25	3	52	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0
OTU46	-0.09691001300805639	0.2304489213782739	0.16731733474817606	37	37	7.25	4633018.6	45.267	3853	7	82	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU47	-0.1549019599857432	0.6989700043360189	0.0	37	40	5.5	3098252.875	36.927	2835.5	9	70	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU48	-0.6989700043360187	-0.3010299956639812	0.809761665107125	37	37	7	3865145.5	57.8	3103	2	48	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
OTU49	0.3010299956639812	0.3010299956639812	0.36172783601759284	37	37.4	7	2481655.909	52.846	2223.5	7	64.333	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0
OTU50	-0.3010299956639812	0.3979400086720376	0.3979400086720376	30	30	6.25	4470621.5	49.895	4347.333	3	61	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU51	-0.5228787452803376	0.146128035678238	1.021189299069938	37	33.5	5.35	6478043.6	49.105	5937	5	72	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0
